epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,3127.05,0.71673,0.52638,1.02116,0.83576,0.64924,0.7301,0.53941,1.11122,0.96424,1.41306,0.000365188,0.000365188,0.000365188
145,3148.59,0.71909,0.5299,1.02392,0.89093,0.62148,0.71053,0.52738,1.043,0.93762,1.33565,0.000359,0.000359,0.000359
146,3170.12,0.71262,0.52746,1.02179,0.89015,0.62874,0.70647,0.52669,1.06196,0.9898,1.36653,0.000352812,0.000352812,0.000352812
147,3191.66,0.71803,0.54109,1.0274,0.76499,0.67771,0.73394,0.55136,1.06733,0.98454,1.3537,0.000346625,0.000346625,0.000346625
148,3213.13,0.70282,0.52324,1.0119,0.86684,0.69157,0.73902,0.54641,1.07538,0.96244,1.36275,0.000340438,0.000340438,0.000340438
149,3234.58,0.69881,0.51052,1.00863,0.85657,0.69087,0.72518,0.53862,1.10293,1.01439,1.39967,0.00033425,0.00033425,0.00033425
150,3256.32,0.70076,0.51377,1.00548,0.90254,0.62974,0.7085,0.53707,1.0332,1.03472,1.33847,0.000328063,0.000328063,0.000328063
151,3278.05,0.69884,0.51951,1.02053,0.84756,0.6517,0.71472,0.54169,1.05643,0.98024,1.34561,0.000321875,0.000321875,0.000321875
152,3299.53,0.68279,0.51733,1.00509,0.87737,0.63639,0.72723,0.54833,1.05513,0.96349,1.33734,0.000315687,0.000315687,0.000315687
153,3321.11,0.70287,0.52359,1.00861,0.89992,0.61516,0.69202,0.52557,1.06723,1.04919,1.36288,0.0003095,0.0003095,0.0003095
154,3342.7,0.67149,0.50787,0.99238,0.90144,0.61681,0.72214,0.54841,1.09177,1.00135,1.3669,0.000303313,0.000303313,0.000303313
155,3364.17,0.68879,0.51414,1.01178,0.85658,0.63228,0.70638,0.52802,1.05977,1.05992,1.36073,0.000297125,0.000297125,0.000297125
156,3385.77,0.67995,0.51774,1.00304,0.84328,0.6264,0.71152,0.5519,1.0109,1.05305,1.3235,0.000290937,0.000290937,0.000290937
157,3407.46,0.66619,0.50382,0.99264,0.91682,0.6249,0.72235,0.5585,1.02668,0.99717,1.3311,0.00028475,0.00028475,0.00028475
158,3428.98,0.66817,0.51508,1.00496,0.84799,0.7013,0.73612,0.57401,1.00831,0.96359,1.31879,0.000278562,0.000278562,0.000278562
159,3451.06,0.68167,0.508,1.00091,0.92494,0.60922,0.72437,0.56392,1.03135,0.96996,1.34399,0.000272375,0.000272375,0.000272375
160,3472.6,0.66697,0.49353,1.00361,0.90931,0.67076,0.73514,0.56645,1.0241,0.94855,1.32755,0.000266187,0.000266187,0.000266187
161,3493.99,0.67459,0.50169,1.00095,0.86454,0.64078,0.70386,0.54087,1.03144,0.96464,1.34069,0.00026,0.00026,0.00026
162,3515.31,0.65132,0.49295,0.99757,0.82776,0.69278,0.73686,0.57094,1.03853,1.01355,1.34924,0.000253812,0.000253812,0.000253812
163,3536.82,0.66433,0.49311,1.00084,0.92408,0.66936,0.72808,0.56939,1.03915,1.00022,1.35885,0.000247625,0.000247625,0.000247625
164,3558.39,0.65799,0.49402,0.9882,0.89073,0.5763,0.69469,0.53279,1.05388,1.00431,1.35337,0.000241438,0.000241438,0.000241438
165,3579.81,0.6589,0.48969,0.98741,0.86055,0.65013,0.72631,0.57059,1.04032,1.04062,1.33494,0.00023525,0.00023525,0.00023525
166,3601.34,0.65049,0.47865,0.98698,0.74806,0.70452,0.72561,0.56559,1.04229,0.99627,1.34287,0.000229063,0.000229063,0.000229063
167,3622.96,0.64447,0.4742,0.98995,0.88359,0.62533,0.72526,0.56055,1.01478,0.99571,1.30612,0.000222875,0.000222875,0.000222875
168,3644.48,0.63756,0.47011,0.98106,0.88969,0.63599,0.72433,0.56975,1.03319,1.00104,1.3345,0.000216688,0.000216688,0.000216688
169,3666.02,0.65951,0.49,0.99197,0.85471,0.69764,0.74116,0.5726,1.02224,1.01507,1.32168,0.0002105,0.0002105,0.0002105
170,3687.76,0.64676,0.46894,0.97629,0.87907,0.63597,0.72357,0.55415,1.04726,0.99009,1.3418,0.000204313,0.000204313,0.000204313
171,3709.34,0.65097,0.48263,0.98432,0.85446,0.63187,0.72889,0.58067,1.01396,1.01853,1.32191,0.000198125,0.000198125,0.000198125
172,3731.34,0.62772,0.46249,0.97406,0.85127,0.63858,0.72311,0.55191,1.0316,0.98565,1.34485,0.000191938,0.000191938,0.000191938
173,3753.02,0.63485,0.46524,0.98035,0.91851,0.62148,0.7213,0.55998,1.02929,1.01326,1.33595,0.00018575,0.00018575,0.00018575
174,3774.61,0.64283,0.4715,0.98784,0.87035,0.66791,0.73596,0.57078,0.9926,1.00646,1.31295,0.000179563,0.000179563,0.000179563
175,3796.28,0.64997,0.46909,0.98526,0.83671,0.70391,0.74032,0.57382,1.01868,0.99699,1.32703,0.000173375,0.000173375,0.000173375
176,3817.82,0.61316,0.446,0.97216,0.86796,0.62949,0.70873,0.55752,1.00128,1.05908,1.32226,0.000167188,0.000167188,0.000167188
177,3839.44,0.61937,0.47117,0.98788,0.80377,0.67622,0.73772,0.5706,1.01953,1.06784,1.33876,0.000161,0.000161,0.000161
178,3860.86,0.62763,0.45444,0.96706,0.86281,0.68677,0.73291,0.55809,1.03449,1.03667,1.34984,0.000154812,0.000154812,0.000154812
179,3882.37,0.61261,0.44523,0.97068,0.89939,0.61807,0.70195,0.54666,1.00331,1.05055,1.314,0.000148625,0.000148625,0.000148625
180,3903.83,0.61783,0.458,0.97223,0.8887,0.63597,0.72627,0.56403,1.0077,1.02154,1.32839,0.000142437,0.000142437,0.000142437
